ID	Gene Name	Species
404744	NPSR1 antisense RNA 1(NPSR1-AS1)	Homo sapiens	
441094	NR2F1 antisense RNA 1(NR2F1-AS1)	Homo sapiens	
644192	NR2F2 antisense RNA 1(NR2F2-AS1)	Homo sapiens	
100873948	NREP antisense RNA 1(NREP-AS1)	Homo sapiens	
100856811	NRG1 intronic transcript 1(NRG1-IT1)	Homo sapiens	
100874286	NRG1 intronic transcript 3(NRG1-IT3)	Homo sapiens	
100874281	NTM intronic transcript(NTM-IT)	Homo sapiens	
283738	NTRK3 antisense RNA 1(NTRK3-AS1)	Homo sapiens	
728190	NUTM2A antisense RNA 1(NUTM2A-AS1)	Homo sapiens	
390858	O-acyltransferase like, pseudogene(OACYLP)	Homo sapiens	
100873941	OPA1 antisense RNA 1(OPA1-AS1)	Homo sapiens	
100874206	OSBPL10 antisense RNA 1(OSBPL10-AS1)	Homo sapiens	
101409258	OSGEPL1 antisense RNA 1(OSGEPL1-AS1)	Homo sapiens	
100288637	OTU deubiquitinase 7A pseudogene(LOC100288637)	Homo sapiens	
100309464	OTX2 antisense RNA 1 (head to head)(OTX2-AS1)	Homo sapiens	
101055625	OVCH1 antisense RNA 1(OVCH1-AS1)	Homo sapiens	
100874002	OXCT1 antisense RNA 1(OXCT1-AS1)	Homo sapiens	
285796	PACRG antisense RNA 1(PACRG-AS1)	Homo sapiens	
100288730	PAN3 antisense RNA 1(PAN3-AS1)	Homo sapiens	
654433	PAX8 antisense RNA 1(PAX8-AS1)	Homo sapiens	
100506215	PAXBP1 antisense RNA 1(PAXBP1-AS1)	Homo sapiens	
100132707	PAXIP1 antisense RNA 2(PAXIP1-AS2)	Homo sapiens	
400960	PCBP1 antisense RNA 1(PCBP1-AS1)	Homo sapiens	
102157401	PCBP2 overlapping transcript 1(PCBP2-OT1)	Homo sapiens	
100885777	PCCA antisense RNA 1(PCCA-AS1)	Homo sapiens	
100874064	PCDH9 antisense RNA 2(PCDH9-AS2)	Homo sapiens	
100874086	PCDH9 antisense RNA 3(PCDH9-AS3)	Homo sapiens	
100874087	PCDH9 antisense RNA 4(PCDH9-AS4)	Homo sapiens	
64002	PCGEM1, prostate-specific transcript (non-protein coding)(PCGEM1)	Homo sapiens	
282997	PDCD4 antisense RNA 1(PDCD4-AS1)	Homo sapiens	
100303755	PET117 homolog(PET117)	Homo sapiens	
100532742	PIR-FIGF readthrough(PIR-FIGF)	Homo sapiens	
100507034	PITRM1 antisense RNA 1(PITRM1-AS1)	Homo sapiens	
100128054	PLCE1 antisense RNA 1(PLCE1-AS1)	Homo sapiens	
5382	PMS1 homolog 2, mismatch repair system component pseudogene 4(PMS2P4)	Homo sapiens	
94026	POM121 transmembrane nucleoporin like 2(POM121L2)	Homo sapiens	
100861520	POU6F2 antisense RNA 1(POU6F2-AS1)	Homo sapiens	
100874361	PPP2R2B intronic transcript 1(PPP2R2B-IT1)	Homo sapiens	
100533464	PRH1-PRR4 readthrough(PRH1-PRR4)	Homo sapiens	
100652759	PRICKLE2 antisense RNA 1(PRICKLE2-AS1)	Homo sapiens	
100874242	PRICKLE2 antisense RNA 2(PRICKLE2-AS2)	Homo sapiens	
100874243	PRICKLE2 antisense RNA 3(PRICKLE2-AS3)	Homo sapiens	
100505483	PRKAG2 antisense RNA 1(PRKAG2-AS1)	Homo sapiens	
439949	PRKCQ antisense RNA 1(PRKCQ-AS1)	Homo sapiens	
100506939	PRKG1 antisense RNA 1(PRKG1-AS1)	Homo sapiens	
219731	PROSER2 antisense RNA 1(PROSER2-AS1)	Homo sapiens	
100507062	PSMD6 antisense RNA 2(PSMD6-AS2)	Homo sapiens	
442421	PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene(PTGER4P2-CDK2AP2P2)	Homo sapiens	
100506994	PTPRG antisense RNA 1(PTPRG-AS1)	Homo sapiens	
100506649	PXN antisense RNA 1(PXN-AS1)	Homo sapiens	
145624	Prader Willi/Angelman region RNA 1(PWAR1)	Homo sapiens	
347745	Prader Willi/Angelman region RNA 4(PWAR4)	Homo sapiens	
8123	Prader Willi/Angelman region RNA 5(PWAR5)	Homo sapiens	
347746	Prader Willi/Angelman region RNA, SNRPN neighbor(PWARSN)	Homo sapiens	
791114	Prader-Willi region non-protein coding RNA 1(PWRN1)	Homo sapiens	
791115	Prader-Willi region non-protein coding RNA 2(PWRN2)	Homo sapiens	
5820	Pvt1 oncogene (non-protein coding)(PVT1)	Homo sapiens	
9366	RAB9B, member RAS oncogene family pseudogene 1(RAB9BP1)	Homo sapiens	
644660	RAD21 antisense RNA 1(RAD21-AS1)	Homo sapiens	
100529207	RAD51L3-RFFL readthrough(RAD51L3-RFFL)	Homo sapiens	
100652739	RAET1E antisense RNA 1(RAET1E-AS1)	Homo sapiens	
101928578	RAP2C antisense RNA 1(RAP2C-AS1)	Homo sapiens	
91149	RAPGEF4 antisense RNA 1(RAPGEF4-AS1)	Homo sapiens	
100302401	RASAL2 antisense RNA 1(RASAL2-AS1)	Homo sapiens	
102060282	RASSF1 antisense RNA 1(RASSF1-AS1)	Homo sapiens	
100506451	RASSF8 atnisense RNA 1(RASSF8-AS1)	Homo sapiens	
